time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.96787360953e-08,-2.00217124301e-08,10.0033368867,6.28315831487,6.28282713063,0.0,1.54088743532e-05,-2.0504727146e-06,0.111224447148,-0.00136522728819,-0.021909395877,0.0,441.6816442074214,439.87141057226404,440.17264638939116,440.05968284942907
0.12000000000000001,1.36855912738e-05,-9.20569822867e-07,10.0134959667,1.37691792261e-05,6.28113758412,0.0,0.000591899220311,-2.98181573023e-05,0.227394682618,0.00448376155071,-0.0451612721972,0.0,442.86758098743655,440.9509388301862,441.89553100161856,442.3773202013431
0.18,0.000105098856328,-1.17467582226e-06,10.0314337902,0.000424134286817,6.27850186249,0.0,0.0027447063488,5.85707355803e-05,0.370495686135,0.0111774966288,-0.0415716318764,0.0,450.2954732177764,450.5846503193258,450.17274984432976,450.71386699634127
0.23999999999999996,0.000385950588074,1.52592866947e-05,10.0586113338,0.0015071668808,6.27615014512,0.0,0.00688670942176,0.000590050586947,0.53535754801,0.0291147296848,-0.0348232626201,0.0,457.2167897501529,457.7533030048609,456.17844141687993,457.6082330921006
0.3,0.000925969654004,8.21190101194e-05,10.0901530991,0.00348331075125,6.27375618597,0.0,0.0113008013834,0.00179640140118,0.516041938976,0.0396511559657,-0.0527160399188,0.0,397.6033809421926,395.9598498103298,397.8437502407796,398.80770953762925
0.36000000000000004,0.00178763498392,0.000263037987007,10.1217911884,0.00678282483925,6.27058725751,0.0,0.0177078801115,0.00450074530902,0.538546261758,0.07515829062,-0.0530150115155,0.0,411.37817196554835,411.3496314740196,410.8211087401738,413.9590503566167
0.4200000000000001,0.0031225139874,0.000690309302725,10.1570969549,0.0110903002732,6.26709061542,0.0,0.0271248583591,0.0101917615441,0.638253232104,0.0640290806003,-0.071708773287,0.0,437.9634866167571,436.4035717981787,437.5856829725834,436.662424605023
0.48000000000000015,0.0051589213426,0.00158859824947,10.2020316046,0.0149580426397,6.26369346721,0.0,0.0412024853365,0.020211807536,0.859414380751,0.065314772913,-0.0366769911817,0.0,472.45587413200013,475.14640158947975,474.7274625544931,474.8288494997329
0.5400000000000001,0.00806282633776,0.0031417912105,10.2576437575,0.0184644527676,6.26172324331,0.0,0.0558145706136,0.0319635648748,0.994204602437,0.038870878054,-0.0260922757297,0.0,449.25363349536786,450.11051852022155,448.67746826810276,446.5279020585969
0.6000000000000002,0.0117937378481,0.00539133950371,10.3171943892,0.0207122541632,6.25992691357,0.0,0.068693581643,0.0432199835404,0.990811906247,0.0344890311719,-0.0390239017769,0.0,404.84169627008464,403.676176383896,403.68965350574365,403.2949296340085
0.6600000000000003,0.0164701150442,0.00847942477871,10.3824384911,0.02286459331,6.25826166204,0.0,0.0874058113272,0.0599566655531,1.18379986986,0.0385039652925,-0.0115212143748,0.0,465.7647883759154,467.9102365906201,466.1864538067356,466.5005333396817
0.7200000000000003,0.022333132737,0.0126524803724,10.460494022,0.0256145509405,6.25737926015,0.0,0.108115969345,0.0794507541365,1.41777944029,0.0574840865409,-0.0219908583611,0.0,479.31840344430145,478.52228197821256,478.46822284758395,479.91190474361986
0.7800000000000004,0.0293470167452,0.0179509212447,10.5481291433,0.0293912562347,6.25612770503,0.0,0.125805189013,0.0975232774704,1.50326774505,0.0720858110121,-0.0186872004266,0.0,434.24229750152705,434.5193117022514,433.8798885723629,435.1068673088765
0.8400000000000004,0.0374815554232,0.0244515012958,10.6421698808,0.0334825158699,6.25515701487,0.0,0.145451388745,0.11960519927,1.63123031801,0.0589601343336,-0.0115811554904,0.0,447.4800395350894,448.05816530448703,448.970984720582,447.90829080925647
0.9000000000000005,0.046848151113,0.0324041316573,10.7450999355,0.0375922978356,6.25399724433,0.0,0.166855421376,0.145907291552,1.79950090387,0.0828176664786,-0.0431057256202,0.0,461.965583499002,459.4732178879379,460.0619374436512,461.9501201175044
0.9600000000000005,0.0575130967141,0.0420070986109,10.8574368721,0.0420993296697,6.25126049756,0.0,0.188923950792,0.17470535645,1.94479403653,0.0516136427504,-0.051165536323,0.0,454.63203953107376,453.9846588709687,455.8649018231842,453.3688153914695
1.0200000000000005,0.0694802593162,0.0533195920289,10.9759199199,0.0449471001514,6.24863659743,0.0,0.210247950447,0.202659046414,2.00451201209,0.0375057097226,-0.0319461131084,0.0,426.81657091559396,428.45236557509344,429.00372120306446,427.8056266486922
1.0800000000000005,0.0828377463316,0.0664443402353,11.0998083097,0.0468566765393,6.24692730619,0.0,0.235182641266,0.235043211751,2.1248624181,0.016948066118,-0.0223420333236,0.0,447.6491796509219,448.42973985347913,447.9981807067541,446.3239393708706
1.1400000000000006,0.0977792174898,0.0816167098266,11.2323829645,0.0477913424281,6.2453365383,0.0,0.263015848813,0.270794776013,2.29395087055,0.0126859010035,-0.0365305686888,0.0,463.82559165152463,462.70984803323194,462.95403259586215,462.61845862775425
1.2000000000000006,0.114280832808,0.0987684576148,11.3712269267,0.0488118731805,6.24385800332,0.0,0.287198005937,0.301007937812,2.33408363078,0.0244926189993,-0.00776431395188,0.0,421.86726704270166,424.34351919453445,422.7238511447988,423.73994618270666
1.2600000000000007,0.132414972702,0.117951908532,11.5165056295,0.0502146695656,6.24307547654,0.0,0.317324043445,0.338582235076,2.50815491851,0.0210564444327,-0.0265328179355,0.0,465.81555501801,464.34568741507434,465.94430681104586,465.6756300414286
